epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,267.006,1.25235,1.15738,1.41089,0.67731,0.60304,0.67419,0.38057,1.55792,1.26529,1.6028,0.0004357,0.0004357,0.0004357
59,271.492,1.2454,1.15785,1.40019,0.67357,0.68516,0.71653,0.39651,1.61218,1.21344,1.61754,0.0004258,0.0004258,0.0004258
60,275.932,1.23459,1.13197,1.39688,0.64769,0.72185,0.72627,0.40363,1.60134,1.21165,1.6031,0.0004159,0.0004159,0.0004159
61,280.478,1.22867,1.12254,1.39431,0.72506,0.67115,0.73347,0.41224,1.59726,1.22699,1.60134,0.000406,0.000406,0.000406
62,285.066,1.23297,1.14038,1.39421,0.66086,0.64944,0.71494,0.39051,1.60673,1.24258,1.62929,0.0003961,0.0003961,0.0003961
63,289.558,1.23962,1.1193,1.39395,0.65612,0.69513,0.69672,0.37567,1.60155,1.28211,1.62387,0.0003862,0.0003862,0.0003862
64,294.002,1.22354,1.10509,1.38233,0.69216,0.67005,0.71839,0.40683,1.54244,1.23559,1.58122,0.0003763,0.0003763,0.0003763
65,298.448,1.22054,1.09567,1.38285,0.67805,0.67747,0.71743,0.40228,1.57116,1.22975,1.61197,0.0003664,0.0003664,0.0003664
66,302.934,1.21251,1.08729,1.38592,0.65288,0.72288,0.72219,0.39862,1.58639,1.24858,1.60636,0.0003565,0.0003565,0.0003565
67,307.46,1.20952,1.08205,1.38457,0.65411,0.70295,0.72216,0.4086,1.5683,1.22698,1.60014,0.0003466,0.0003466,0.0003466
68,311.968,1.19275,1.10363,1.38618,0.67692,0.67957,0.71793,0.39407,1.61774,1.21506,1.62131,0.0003367,0.0003367,0.0003367
69,316.483,1.19652,1.0797,1.38164,0.64336,0.73178,0.73904,0.40011,1.61886,1.19216,1.62661,0.0003268,0.0003268,0.0003268
70,320.916,1.21485,1.08776,1.38193,0.65452,0.6935,0.72193,0.37724,1.69466,1.24788,1.68033,0.0003169,0.0003169,0.0003169
71,325.441,1.20205,1.07502,1.37747,0.66163,0.67649,0.70518,0.39634,1.60228,1.1996,1.6424,0.000307,0.000307,0.000307
72,329.882,1.20466,1.07918,1.38061,0.63538,0.68653,0.70666,0.39491,1.58636,1.24438,1.60823,0.0002971,0.0002971,0.0002971
73,334.319,1.19954,1.07171,1.37135,0.69472,0.71127,0.74286,0.4218,1.56272,1.18187,1.5955,0.0002872,0.0002872,0.0002872
74,338.879,1.19927,1.04197,1.3598,0.66018,0.69379,0.72283,0.40155,1.58054,1.19572,1.62496,0.0002773,0.0002773,0.0002773
75,343.348,1.18475,1.04826,1.36029,0.6916,0.68923,0.73272,0.4155,1.58233,1.19453,1.61105,0.0002674,0.0002674,0.0002674
76,347.896,1.17326,1.02861,1.35317,0.72254,0.65914,0.72772,0.42082,1.53508,1.17744,1.57126,0.0002575,0.0002575,0.0002575
77,352.351,1.16868,1.01231,1.35569,0.63938,0.70658,0.72058,0.40365,1.5632,1.19732,1.60295,0.0002476,0.0002476,0.0002476
78,356.845,1.17133,1.04865,1.36069,0.6599,0.70448,0.71983,0.39941,1.58527,1.2388,1.63307,0.0002377,0.0002377,0.0002377
79,361.325,1.16726,1.03947,1.35433,0.68781,0.71859,0.74142,0.41581,1.58435,1.19512,1.61892,0.0002278,0.0002278,0.0002278
80,365.753,1.15213,1.01894,1.33632,0.66833,0.71082,0.74057,0.42447,1.5671,1.18766,1.59937,0.0002179,0.0002179,0.0002179
81,370.286,1.15123,1.01993,1.34246,0.69352,0.67543,0.73574,0.41769,1.58538,1.18835,1.60805,0.000208,0.000208,0.000208
82,374.729,1.14779,1.0199,1.33536,0.73626,0.69153,0.74233,0.41518,1.57097,1.15522,1.61486,0.0001981,0.0001981,0.0001981
83,379.163,1.14081,0.99498,1.32757,0.72635,0.69133,0.74179,0.42894,1.56645,1.17339,1.62163,0.0001882,0.0001882,0.0001882
84,383.762,1.14721,0.99163,1.33143,0.69846,0.66706,0.72877,0.40455,1.61963,1.18994,1.65042,0.0001783,0.0001783,0.0001783
85,388.234,1.14379,0.98741,1.33004,0.68781,0.67266,0.71624,0.39763,1.6552,1.20734,1.69309,0.0001684,0.0001684,0.0001684
86,392.756,1.12678,0.98496,1.33347,0.68556,0.73284,0.74708,0.42527,1.585,1.16288,1.64219,0.0001585,0.0001585,0.0001585
87,397.243,1.11443,0.95867,1.32605,0.70278,0.68687,0.73182,0.41371,1.59602,1.17192,1.63356,0.0001486,0.0001486,0.0001486
88,401.73,1.13158,0.97206,1.31734,0.72496,0.6689,0.74251,0.42258,1.56228,1.15434,1.61158,0.0001387,0.0001387,0.0001387
